ts	phase	decision	why	evidence	result
2026-09-12T17:43:00Z	lantern	Restored the Kongming lantern on the welcome overlay instead of bringing in the closed vNext motion system	The lantern code was still in the tree but unused after PI_LOGO replaced it. The operator asked for motion, not a new layout.	commit f093790, src/welcome/lantern.ts, PR #4	implemented
2026-09-12T17:46:00Z	lantern	Paint the overlay at 100 ms while the lantern is on, and keep the 30 s countdown	80 ms and a second timer were considered. One interval is enough if countdown still ticks once a second.	src/welcome/motion-policy.ts:14, tests/welcome-motion.test.ts	tests green
2026-09-12T17:50:00Z	verify	Shipped the lantern slice and opened draft PR #4	Needed a reviewable branch before growing the work.	commit f093790, https://github.com/ChefGroep/pi-wishcraft/pull/4	CI green
2026-09-12T21:34:00Z	catalog	Grew the same PR into a 30-entry powerline catalog and 35 keyword triggers	The operator said lantern-only flicker was too simple. Welcome is 30 seconds. The status bar is the session.	commit b5c0c0f, src/motion/catalog.ts, docs/plans/2026-09-12-motion-x30-powerline-keywords.md	implemented
2026-09-12T21:40:00Z	keywords	Paint color on the cached powerline after layout, with a 50 ms timer only while streaming, burst, or hold	Baking flicker into segment render would freeze on the 250 ms / 1000 ms layout cache. Recoloring the live editor would move the cursor.	src/motion/runtime.ts, src/extension/ui/status-line-renderers.ts, tests/motion-wiring.test.ts	implemented
2026-09-12T21:44:00Z	verify	Committed the x30 engine before the full suite finished, then hit two test failures	Cloud flow asks for a pre-test commit. NO_COLOR is cached, and one assert compared ANSI-wrapped text.	commit b5c0c0f	tests failed
2026-09-12T21:46:00Z	verify	Injected the color flag into the runtime and asserted on stripped text	Forward fix instead of revert. The failures were in the tests, not the paint.	commit 7417b89, tests/motion.test.ts	489 tests green, CI green
2026-09-13T19:27:00Z	types	Made MotionPaint a sum type none | keyword | catalog, and dropped none as a style id	Idle cannot carry a style. Burst cannot exist without a keyword hit.	commit 3609ceb, src/motion/types.ts	489 tests green, CI green
2026-09-13T19:40:00Z	thermos	Stopped at the thermos review until the operator said to fix it	The review found idle hold after submit, emoji span shift, unused catalog speed, and keyword style copies that had already drifted.	PR #4, src/motion/keywords.ts (pre-fix style/intensity columns)	blocked
2026-09-13T21:06:00Z	hold	Stopped feeding the submitted prompt into motion.noteText. The editor now notes the live draft only.	before_agent_start plus a lastUserPrompt fallback kept think / max / wish painting the idle bar after submit. Hold should last only while the draft still contains the word.	src/extension/session/session-lifecycle.ts:314, src/extension/ui/custom-editor.ts:315, tests/motion.test.ts (empty noteText after ultrathink)	idle paint clears
